w,h_min,overlay,k,thresh,n_trades,trade_mean_bps_1x,trade_median_bps_1x,win_rate,ci_lo_1x,ci_hi_1x,ci_lo_2x,ci_hi_2x,trade_t_1x,gross_bps,turnover,net_bps,net_2x_bps,avg_rt_bps,n_syms
300,10,PERSISTENCE,5,0.15,979,-0.0392,-0.4087,0.4729,-1.5028,1.4661,-3.076,-0.114,-0.05,0.079,0.00406,0.073,0.067,2.107,9
300,15,HOLD,0,0.0,2276,-2.2905,-1.378,0.4587,-4.0364,-0.5403,-6.287,-2.7897,-2.56,0.7583,0.00836,0.7397,0.7212,2.107,9
300,15,PERSISTENCE,2,0.05,3192,-1.6069,-1.6913,0.4527,-3.0118,-0.2061,-5.2969,-2.4802,-2.19,0.3416,0.01176,0.3152,0.2889,2.107,9
300,15,PERSISTENCE,2,0.1,1932,-1.3077,-1.2253,0.4601,-2.9495,0.3572,-5.0569,-1.7324,-1.54,0.2232,0.0074,0.2081,0.193,2.107,9
300,15,PERSISTENCE,2,0.15,864,0.4433,-0.5917,0.4711,-1.6998,2.6539,-3.3475,1.0096,0.4,-0.0545,0.00354,-0.06,-0.0655,2.107,9
300,15,PERSISTENCE,3,0.05,3196,-1.6963,-1.6905,0.4524,-3.1518,-0.2259,-5.4372,-2.5012,-2.3,0.3424,0.01177,0.3161,0.2898,2.107,9
300,15,PERSISTENCE,3,0.1,1924,-1.0075,-1.1768,0.4621,-2.6671,0.638,-4.7713,-1.4645,-1.2,0.2097,0.00737,0.1947,0.1797,2.107,9
300,15,PERSISTENCE,3,0.15,857,0.7788,-0.591,0.4714,-1.1683,2.8087,-2.8153,1.1455,0.76,-0.0253,0.00352,-0.0308,-0.0363,2.107,9
300,15,PERSISTENCE,5,0.05,3188,-1.7047,-1.6992,0.4523,-3.1309,-0.2517,-5.4083,-2.5156,-2.34,0.4062,0.01174,0.38,0.3537,2.107,9
300,15,PERSISTENCE,5,0.1,1914,-1.2275,-1.1505,0.4624,-2.7962,0.3572,-4.9024,-1.7462,-1.52,0.157,0.00733,0.142,0.1271,2.107,9
300,15,PERSISTENCE,5,0.15,847,0.6762,-0.5864,0.4723,-1.2041,2.6376,-2.8432,0.9936,0.69,-0.0501,0.00348,-0.0554,-0.0608,2.107,9
300,30,HOLD,0,0.0,1234,-0.2017,-1.1411,0.4441,-3.1571,2.7941,-5.3438,0.6292,-0.13,1.2785,0.00458,1.2688,1.2591,2.107,9
300,30,PERSISTENCE,2,0.05,1823,-1.3941,-1.3739,0.4575,-3.9841,1.1639,-6.2481,-1.0849,-1.06,0.1203,0.00669,0.1054,0.0905,2.107,9
300,30,PERSISTENCE,2,0.1,1328,-0.4865,-1.0991,0.4593,-3.1129,2.1676,-5.288,-0.0028,-0.36,0.021,0.00502,0.0104,-0.0002,2.107,9
300,30,PERSISTENCE,2,0.15,656,-0.9739,-1.0368,0.4482,-4.5091,2.5196,-6.3033,0.7153,-0.54,-0.2077,0.00264,-0.2121,-0.2166,2.107,9
300,30,PERSISTENCE,3,0.05,1820,-1.6104,-1.3401,0.4593,-4.1966,0.9492,-6.4471,-1.3058,-1.22,0.0781,0.00668,0.0633,0.0484,2.107,9
300,30,PERSISTENCE,3,0.1,1322,-0.4402,-0.9914,0.4622,-3.034,2.2138,-5.2035,0.0297,-0.33,-0.0278,0.005,-0.0384,-0.0489,2.107,9
300,30,PERSISTENCE,3,0.15,648,-0.2757,-0.9889,0.4506,-3.4672,2.9676,-5.2652,1.196,-0.17,-0.1232,0.00261,-0.1276,-0.132,2.107,9
300,30,PERSISTENCE,5,0.05,1817,-1.5188,-1.1475,0.4595,-4.1139,1.0764,-6.3719,-1.1799,-1.15,0.1234,0.00667,0.1085,0.0936,2.107,9
300,30,PERSISTENCE,5,0.1,1314,-0.3235,-0.9889,0.4635,-2.8955,2.3483,-5.0763,0.171,-0.25,0.0711,0.00497,0.0606,0.0501,2.107,9
300,30,PERSISTENCE,5,0.15,639,-0.5589,-0.9889,0.4491,-3.5996,2.5501,-5.3836,0.7793,-0.35,-0.1991,0.00258,-0.2034,-0.2078,2.107,9
