symbol_day,symbol,day,quoted_half_spread_bps,bid_depth_lots,ask_depth_lots,touch_notional_usd,fill_rate_ceiling,n_posts,n_fills,earn_half_spread_bps_mean,net_per_fill_bps_mean,net_per_fill_bps_median,realized_adverse_bps_mean
AVGO|2025-02-06,AVGO,2025-02-06,2.17249619813153,1.0,1.0,34629.75,0.7009708737864078,3090,2166,2.246920217312924,0.5549820868304527,0.8626923596008045,1.6919381304824712
AVGO|2025-03-05,AVGO,2025-03-05,3.1374189500105767,3.0,2.0,48033.75,0.7358634742740703,3926,2889,3.230905390559133,1.7705118663958324,1.5718875424811651,1.4603935241633006
AVGO|2025-03-31,AVGO,2025-03-31,1.8220467658670596,2.0,2.0,32889.0,0.7682625863770978,4052,3113,1.9000189180932276,1.75086119322955,2.115113980143532,0.14915772486367773
AVGO|2025-04-25,AVGO,2025-04-25,2.922578247453725,2.0,1.0,28838.625,0.6541159099298635,2709,1772,3.0831665490281464,1.240521091796767,1.0420459675053304,1.8426454572313793
AVGO|2025-05-21,AVGO,2025-05-21,2.1828341919152785,2.0,2.0,45827.0,0.7305352798053528,3288,2402,2.32694006462182,0.7266843057763698,1.4957994287787413,1.6002557588454502
AVGO|2025-06-17,AVGO,2025-06-17,1.7916509067744988,2.0,2.0,50029.0,0.7429760665972945,2883,2142,1.784825330419025,-0.1540137577284428,-0.000253802442415303,1.9388390881474677
AVGO|2025-07-15,AVGO,2025-07-15,2.1263777155616213,2.0,1.0,42309.0,0.706369982547993,2292,1619,2.134647873260815,0.6776562285172806,1.2441505887917765,1.4569916447435345
AVGO|2025-08-08,AVGO,2025-08-08,2.131671722554652,2.0,1.0,46023.75,0.6885474860335196,2148,1479,2.2370238301038,0.4250328444112374,0.16399079121098578,1.8119909856925627
AVGO|2025-09-04,AVGO,2025-09-04,1.6307095221469086,1.0,1.0,45837.0,0.7296387017758726,3266,2383,1.7448171480489125,0.3821881719994277,0.3265837576515895,1.3626289760494847
AVGO|2025-09-30,AVGO,2025-09-30,2.4266690933361397,1.0,1.0,49044.37500000001,0.6937471474212689,2191,1520,2.449300892366073,1.714450491753534,2.1499338555369993,0.7348504006125391
AVGO|2025-10-24,AVGO,2025-10-24,2.1210107323147875,2.0,1.0,70513.00000000001,0.6817256817256817,2457,1675,2.2344928448854016,1.3687307025773798,1.1231991381661954,0.8657621423080217
AVGO|2025-11-19,AVGO,2025-11-19,2.288231340656459,40.0,80.0,2150460.0,0.745658835546476,3916,2920,2.3543777002756348,2.0860965088417993,2.152505878993569,0.26828119143383544
AVGO|2025-12-16,AVGO,2025-12-16,1.319667443804628,80.0,120.0,4063050.0000000005,0.8111888111888111,4147,3364,1.3832575260109798,-0.7212266246181621,-0.8810790483663669,2.104484150629142
AVGO|2026-01-13,AVGO,2026-01-13,1.4090460758061982,80.0,80.0,2872760.0,0.7561436672967864,3174,2400,1.5983444590818,0.36278472036271175,-0.00007152921655578424,1.2355597387190882
AVGO|2026-02-09,AVGO,2026-02-09,1.5829387978301313,80.0,80.0,3460449.9999999995,0.7574180114523685,3842,2910,1.7874319688509817,0.7936137513349022,0.28725516930934714,0.9938182175160795
AVGO|2026-03-06,AVGO,2026-03-06,2.0485206754263316,80.0,80.0,3354550.0,0.7842066054134591,4027,3158,2.104712168077126,0.10742228997230656,-0.15140639295430508,1.9972898781048196
AVGO|2026-04-01,AVGO,2026-04-01,1.7461703309779633,120.0,80.0,6282300.0,0.7520020666494446,3871,2911,1.753537786334312,0.654655056867542,0.4774382897892726,1.09888272946677
AVGO|2026-04-28,AVGO,2026-04-28,1.1289371683743932,80.0,80.0,3964675.0000000005,0.7981088678763097,3913,3123,1.270111239288289,-0.04209552376124011,-0.5038735169563038,1.312206763049529
AVGO|2026-05-22,AVGO,2026-05-22,1.9398171722318205,80.0,80.0,3316720.0000000005,0.7170319108035371,2601,1865,2.134874439678524,0.6498226624898721,0.3626161255005752,1.485051777188652
AVGO|2026-06-18,AVGO,2026-06-18,1.7149717029667337,80.0,80.0,3270120.0,0.7443609022556391,3990,2970,1.83780255329243,1.03734109043435,1.341268572339755,0.80046146285808
GOOGL|2024-12-12,GOOGL,2024-12-12,0.7711091119393687,3.0,3.0,68129.25,0.8029090909090909,4125,3312,0.71218935345823,-0.6911826831078647,-0.000059468571834227126,1.4033720365660947
GOOGL|2025-01-10,GOOGL,2025-01-10,0.5203996669437398,2.0,2.0,38694.0,0.8565382044998886,4489,3845,0.6230341613878506,-0.2931374426317855,-6.67677664184166e-6,0.9161716040196362
GOOGL|2025-02-06,GOOGL,2025-02-06,0.5243013684268398,2.0,3.0,57255.00000000001,0.8121667474551624,4126,3351,0.5785499319348929,-0.04412387191342425,0.26215068277006826,0.6226738038483172
GOOGL|2025-03-05,GOOGL,2025-03-05,0.8769109350793935,2.0,2.0,34608.5,0.842197417377982,4569,3848,0.9112753828575386,0.41246643278817546,0.5882309213400206,0.49880895006936316
GOOGL|2025-03-31,GOOGL,2025-03-31,0.6489292667102605,2.0,2.0,38376.25,0.8599033816425121,4554,3916,0.5767191075413298,0.19894841610433978,-0.000010872460721616823,0.37777069143699005
GOOGL|2025-04-25,GOOGL,2025-04-25,0.6187735907434636,2.0,2.0,32720.000000000004,0.842010367365337,4437,3736,0.763250455742607,-0.819988709982039,-0.6148028839608115,1.5832391657246458
GOOGL|2025-05-21,GOOGL,2025-05-21,0.5805515239472223,2.0,2.0,34202.0,0.8810822605280384,4583,4038,0.4577104590819914,-0.09060134850882845,-0.2961252970966505,0.5483118075908199
GOOGL|2025-06-17,GOOGL,2025-06-17,0.5648441030278533,2.0,2.0,44032.5,0.8578442311983933,4481,3844,0.4471566497469773,0.0279266347743175,-7.968792434290782e-6,0.41923001497265977
GOOGL|2025-07-15,GOOGL,2025-07-15,0.2742957456727351,2.0,2.0,45700.0,0.8531484428279155,4399,3753,0.4201858196010819,-0.02490848737078711,-7.441329385263218e-6,0.445094306971869
GOOGL|2025-08-08,GOOGL,2025-08-08,0.49788399302987874,2.0,2.0,50245.00000000001,0.8417127736348328,4157,3499,0.5659428343578493,0.27935494949851547,-0.000024795019204262836,0.28658788485933384
GOOGL|2025-09-04,GOOGL,2025-09-04,0.4336137368827901,2.0,2.0,46059.0,0.8582875457875457,4368,3749,0.3778537829601032,0.2389962815688159,0.43828411773150655,0.1388575013912873
GOOGL|2025-09-30,GOOGL,2025-09-30,0.41583499667353274,2.0,2.0,48294.0,0.8473840530043408,4377,3709,0.515169484286621,0.33583024271260115,0.8276047572554553,0.17933924157401987
GOOGL|2025-10-24,GOOGL,2025-10-24,0.7654037504787691,2.0,1.0,39183.75,0.8322776792500634,3947,3285,0.6821007624210977,0.46353116774908704,0.38387715478649154,0.2185695946720107
GOOGL|2025-11-19,GOOGL,2025-11-19,1.019922485891111,200.0,200.0,4545674.999999999,0.8533604887983707,4419,3771,1.0449514727812823,-0.0980108470551525,-0.00007256800488346588,1.142962319836435
GOOGL|2025-12-16,GOOGL,2025-12-16,0.6558667278802981,100.0,100.0,4581149.999999999,0.844004400440044,4545,3836,0.6882105983975283,0.2519083380741544,0.16393171678035412,0.4363022603233739
GOOGL|2026-01-13,GOOGL,2026-01-13,0.5961429550800862,200.0,200.0,6703800.0,0.8388838883888389,4444,3728,0.6808774772030852,-0.22010450055246897,-0.00003542671191085066,0.9009819777555542
GOOGL|2026-02-09,GOOGL,2026-02-09,0.4616023757140151,200.0,100.0,4877325.0,0.8497652582159625,4473,3801,0.515909813289135,-0.007660312146655236,-0.3072975460855295,0.5235701254357902
