split,fill,overlay,qimb_thr,markout_sec,n_fills,earned_spread_bps,adverse_drift_bps,markout_mean_bps,markout_ci_lo,markout_ci_hi,markout_t,win_rate,cross_mean_bps,cross_ci_lo,cross_ci_hi
OOS,trade_through,qimb,0.05,30,1008446,0.9154,-0.2288,0.6866,0.6717,0.7013,92.55,0.5423,-0.3897,-0.4047,-0.3753
OOS,trade_through,qimb,0.05,60,1008446,0.9154,-0.2401,0.6753,0.654,0.6964,64.93,0.529,-0.4011,-0.4224,-0.3799
OOS,trade_through,qimb,0.1,1,1202642,0.9303,-0.1713,0.759,0.7553,0.7629,388.05,0.6632,-0.3224,-0.3258,-0.3189
OOS,trade_through,qimb,0.1,5,1202642,0.9303,-0.2087,0.7216,0.7156,0.7277,231.45,0.6025,-0.3598,-0.3656,-0.3536
OOS,trade_through,qimb,0.1,30,1202642,0.9303,-0.219,0.7113,0.6983,0.7246,104.72,0.5441,-0.3701,-0.383,-0.3563
OOS,trade_through,qimb,0.1,60,1202642,0.9303,-0.2272,0.7031,0.6844,0.7217,73.98,0.5303,-0.3783,-0.397,-0.3595
OOS,trade_through,qimb,0.2,1,1316709,0.9192,-0.167,0.7522,0.7487,0.7558,406.41,0.6623,-0.3113,-0.3146,-0.308
OOS,trade_through,qimb,0.2,5,1316709,0.9192,-0.2024,0.7168,0.7111,0.7225,243.17,0.6028,-0.3467,-0.352,-0.3411
OOS,trade_through,qimb,0.2,30,1316709,0.9192,-0.2076,0.7116,0.6992,0.7245,111.09,0.5446,-0.3519,-0.3644,-0.3396
OOS,trade_through,qimb,0.2,60,1316709,0.9192,-0.2112,0.708,0.6906,0.7259,79.04,0.5311,-0.3556,-0.3735,-0.3375
OOS,trade_through,qimb,0.4,1,1345595,0.9059,-0.1649,0.741,0.7376,0.7445,407.56,0.6596,-0.3078,-0.3112,-0.3046
OOS,trade_through,qimb,0.4,5,1345595,0.9059,-0.1996,0.7064,0.7007,0.712,244.02,0.6014,-0.3425,-0.3479,-0.337
OOS,trade_through,qimb,0.4,30,1345595,0.9059,-0.2037,0.7022,0.6897,0.7146,111.71,0.5442,-0.3466,-0.3592,-0.3345
OOS,trade_through,qimb,0.4,60,1345595,0.9059,-0.2063,0.6997,0.6827,0.7165,79.6,0.531,-0.3492,-0.3667,-0.3326
OOS,queue_proxy,baseline,,1,1043952,0.6773,-0.3134,0.3639,0.3602,0.3674,204.53,0.5728,-0.6278,-0.6316,-0.6244
OOS,queue_proxy,baseline,,5,1043952,0.6773,-0.5881,0.0893,0.0831,0.095,29.47,0.4956,-0.9025,-0.909,-0.8967
