signal,w,h_min,band,gross_bps,turnover,net_bps,net_2x_bps,avg_rt_cost_bps,n_syms
ofi,120,1,0.1,0.0002,0.0002,-0.0004,-0.0011,2.676,5
ofi,120,1,0.15,-0.0001,0.0001,-0.0002,-0.0003,2.676,5
ofi,120,1,0.2,0.0,0.0,0.0,0.0,2.676,5
ofi,120,2,0.0,0.1076,0.1635,-0.3276,-0.7629,2.676,5
ofi,120,2,0.02,0.0645,0.0666,-0.1374,-0.3393,2.676,5
ofi,120,2,0.05,0.0088,0.0042,-0.0043,-0.0175,2.676,5
ofi,120,2,0.1,0.0007,0.0002,0.0001,-0.0006,2.676,5
ofi,120,2,0.15,0.0,0.0001,-0.0001,-0.0002,2.676,5
ofi,120,2,0.2,0.0,0.0,0.0,0.0,2.676,5
ofi,120,5,0.0,0.0801,0.1635,-0.3551,-0.7904,2.676,5
ofi,120,5,0.02,0.1,0.0666,-0.1019,-0.3038,2.676,5
ofi,120,5,0.05,0.0099,0.0042,-0.0033,-0.0164,2.676,5
ofi,120,5,0.1,0.001,0.0002,0.0004,-0.0003,2.676,5
ofi,120,5,0.15,0.0002,0.0001,0.0001,0.0,2.676,5
ofi,120,5,0.2,0.0,0.0,0.0,0.0,2.676,5
stflow,30,1,0.0,0.0236,0.4132,-1.123,-2.2697,2.676,5
stflow,30,1,0.02,0.0167,0.4114,-1.124,-2.2646,2.676,5
stflow,30,1,0.05,0.0055,0.4012,-1.1062,-2.2179,2.676,5
stflow,30,1,0.1,0.0148,0.3671,-0.9963,-2.0073,2.676,5
stflow,30,1,0.15,0.0133,0.3166,-0.8501,-1.7136,2.676,5
stflow,30,1,0.2,0.0091,0.2577,-0.6835,-1.376,2.676,5
stflow,30,2,0.0,0.02,0.4132,-1.1266,-2.2733,2.676,5
stflow,30,2,0.02,0.0043,0.4114,-1.1363,-2.2769,2.676,5
stflow,30,2,0.05,-0.0114,0.4012,-1.1231,-2.2347,2.676,5
stflow,30,2,0.1,0.0076,0.3671,-1.0034,-2.0145,2.676,5
stflow,30,2,0.15,0.0051,0.3166,-0.8583,-1.7218,2.676,5
stflow,30,2,0.2,0.0058,0.2577,-0.6868,-1.3794,2.676,5
stflow,30,5,0.0,0.0041,0.4132,-1.1425,-2.2891,2.676,5
stflow,30,5,0.02,0.0017,0.4114,-1.1389,-2.2796,2.676,5
