hypothesis,stat,target,window,regime,n,median_logratio,mean_logratio,shuffle_z,resid_median,collapse,oos,p,fdr_survive,net_bps_5,win_rate_5,net_bps_10,win_rate_10
H3,ret,ret_drift,30,rth,420,NaN,-0.0004886410264851984,-0.9556248710605496,NaN,NaN,n/a,0.3392617914832834,false,,,,
H3,ret,ret_drift,60,rth,420,NaN,0.0001613530654146,0.2369148832603017,NaN,NaN,n/a,0.8127228234780046,false,,,,
H1,vol,vol_abn,5,offhours,3211,0.38715892590266693,0.5316754364070638,20.201361976670338,-0.0374202251623274,0.07151429331383556,consistent,0.0,true,,,,
H1,vol,vol_abn,15,offhours,3334,0.4880446613651791,0.6430868269182838,26.45795560764389,0.005391287487785973,0.01094548923454359,consistent,0.0,true,,,,
H1,vol,vol_abn,30,offhours,3344,0.5275945550564458,0.6374781450451225,27.750471015614703,-0.004005229268080703,0.007591490908491646,consistent,0.0,true,,,,
H1,vol,vol_abn,60,offhours,3349,0.47467037768226755,0.614653904561298,27.290709694020588,0.0053889817945138585,0.011353103222550592,consistent,0.0,true,,,,
H2,absret,absret_abn,5,offhours,3153,0.21385528369792217,0.09367396598691885,4.294206299628751,0.15274335563663952,0.6083013748866262,consistent,0.000017531939733750335,true,32.75740596458338,0.48842372343799556,22.75740596458338,0.42213764668569614
H2,absret,absret_abn,15,offhours,3297,0.22771998471440605,0.1192149771065782,5.8275572592892,0.13112010199364044,0.5757953223037675,consistent,5.624455567954101e-9,true,53.62002445771308,0.5268425841674249,43.62002445771308,0.47801031240521685
H2,absret,absret_abn,30,offhours,3318,0.2474501037570835,0.09865617829489186,4.825612050373575,0.17293667342901592,0.6988749279280325,consistent,1.3957396582942039e-6,true,68.23425361035662,0.5379746835443038,58.234253610356625,0.49939722724532853
H2,absret,absret_abn,60,offhours,3330,0.21393862150759677,0.0926384463266758,4.5305848363160095,0.16134407097941428,0.754160561765072,consistent,5.8820628354716575e-6,true,83.2166331017127,0.5444444444444444,73.21663310171272,0.5078078078078078
H2,rv,rv_abn,5,offhours,2910,0.24900656716962843,0.2552600096180358,16.165689730115144,0.031021580500163435,0.12458137491221624,consistent,0.0,true,,,,
H2,rv,rv_abn,15,offhours,3330,0.21471885702507826,0.3024215986407233,26.609365421118007,0.005917554068955565,0.027559545309355015,consistent,0.0,true,,,,
H2,rv,rv_abn,30,offhours,3344,0.20677045779576042,0.3010745608030335,28.01854055766275,-0.0056245897122066055,0.02720209536781289,consistent,0.0,true,,,,
H2,rv,rv_abn,60,offhours,3349,0.20119483483070152,0.2971942759447999,29.199981233255233,-0.016179122590612105,0.08041519855232007,consistent,0.0,true,,,,
H2,range,range_abn,5,offhours,3207,0.3576635065424693,0.4147146817459447,24.97171387059387,-0.018564750238650563,0.04464356420328271,consistent,0.0,true,,,,
H2,range,range_abn,15,offhours,3334,0.3582551738306138,0.42721586786333493,28.92339212632687,0.011368810761026589,0.03158934895464187,consistent,0.0,true,,,,
H2,range,range_abn,30,offhours,3344,0.338117714854125,0.4094348974715111,30.125325775387203,0.016946754508772706,0.050120871413330374,consistent,0.0,true,,,,
H2,range,range_abn,60,offhours,3349,0.3359321545461288,0.3925964091569734,29.77863277107272,-0.0016283256957381753,0.004847186176441412,consistent,0.0,true,,,,
H3,ret,ret_drift,5,offhours,3211,NaN,0.00030268679825559653,1.090243595860338,NaN,NaN,n/a,0.2756058539595687,false,,,,
H3,ret,ret_drift,15,offhours,3334,NaN,-0.00046215345901688817,-1.1620875603112941,NaN,NaN,n/a,0.24519989987595547,false,,,,
H3,ret,ret_drift,30,offhours,3344,NaN,-0.00018841693492433067,-0.3769268338691955,NaN,NaN,n/a,0.7062279791558499,false,,,,
H3,ret,ret_drift,60,offhours,3349,NaN,-0.0005653312405162167,-0.9043466406624096,NaN,NaN,n/a,0.3658116226301289,false,,,,
