symbol,half_spread_bps
NVO,1.2130613868652969
DAL,1.918213376232817
PH,6.661684659791371
ADP,2.7985807242373584
WDAY,4.403875417419714
FTNT,2.163902719079917
STM,1.3794726191546958
BMY,0.8668292096034456
FDX,6.204031814376764
TGT,3.2302023226031924
WELL,4.312329650431375
NVTS,3.743143434998757
WULF,2.4801912095845786
MO,1.0716236405971746
LOW,3.4724865787093266
ZS,5.2163789443603825
SAP,2.6572584974970885
SHW,3.049307286120507
MDB,7.429330025165822
UPS,2.0025009728811574
TSEM,16.254078285667813
ROST,4.012498832053682
TT,4.869989520973139
REGN,6.754556815057358
TEAM,4.447011644239306
FLEX,4.529858011792701
MPC,6.652653422326125
ELV,4.558339104143432
FSLR,10.661744392815443
RDW,5.071151704326033
EBAY,2.8546733954364285
PGR,4.410585417441768
HWM,7.029672952795071
CMG,1.5092070169422453
HCA,5.443542620315832
ZTS,3.366577576609112
BP,1.1155169780375322
WBD,1.8429833233105586
FANG,5.153758906085373
EOG,2.7312910916915807
PL,4.267624193110763
AMT,3.6180685866579623
GM,1.8684185778593299
EQIX,8.361785031854318
RBLX,4.007811612453052
MMM,2.927894432748185
B,1.2192065080625647
CMI,6.311937802046366
CSX,1.1328083029846971
TEL,7.5826451451181756
VRTX,4.5364539971256415
FN,19.56399385952978
ORLY,1.631201268782324
ICE,3.321284210571572
ADSK,4.459566860202456
BKR,1.576915636070267
HAL,1.2751884061597747
MAR,3.7360615560293153
CRH,2.8501913231877793
MARA,4.418713123382968
CB,2.81285316629769
COR,4.313320949634992
VEEV,4.901115246348391
AEP,2.450143621857504
NOC,5.741873556985718
CHTR,6.499917897447636
MRSH,3.7334902966243027
DOCN,11.419937405361004
APO,4.78934648718186
CIFR,2.882702415166903
ABNB,4.0499182510345
HLT,3.7003207172678554
POET,6.524752244077691
SO,1.0599600926062256
CDE,2.6899598820583392
DOW,1.3446329753145168
MDLZ,0.8679566648119494
AEM,5.808815704983466
KKR,4.40760050849846
URI,9.744469618783556
LULU,5.479375927598726
JCI,3.4579896100741685
USB,0.9135179248165428
TDG,4.907679161848773
CL,1.1746155770956381
AXON,10.573856841683181
CF,6.583586385390159
BNY,2.9788306387426644
CASY,10.728196231276764
KEYS,8.818604312443334
PSX,5.168206770663835
KMB,2.008080730571177
RIVN,3.3068786685003997
PBR,2.4728066177787773
MCO,5.187044262168226
LYB,3.2012561109502844
TWLO,8.806399164602524
LUNR,5.469523521792727
WMB,1.646261890955318
CNQ,1.0821503912678228
MSI,4.149996496574307
PLD,3.091362220112855
AON,4.233843168595493
TTD,2.2177555674392746
WM,4.483139066112115
HPQ,2.5227044995972623
CI,3.912291096297789
TTWO,6.119066723606661
EQT,1.7582398560023411
GD,3.4087628524861637
ZM,3.801147170038626
CARR,2.016764666460431
PNC,4.835989206462978
MTSI,20.277059765358846
ODFL,7.0145021731696735
TFC,1.0292734455339607
LYV,6.946938771416766
LHX,4.4475253646413115
